Confirmed cases,Deaths
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
23,0
2,0
1,0
3,0
5,0
4,0
13,0
6,1
11,0
9,1
20,0
11,0
6,0
23,1
14,0
38,1
50,1
86,-1
66,3
103,3
37,0
121,2
70,8
160,0
100,4
37,3
227,5
146,3
601,23
545,14
24,0
515,14
506,13
1190,37
533,14
605,28
809,48
873,20
848,42
759,43
1248,27
1034,35
835,12
1108,43
922,38
1370,35
1893,38
924,33
1541,53
1290,36
1707,40
1453,59
1753,45
1607,56
1561,58
1873,69
1738,71
1801,75
2394,69
2442,100
2806,68
3932,175
2963,127
3587,92
3364,104
3344,96
3113,116
4353,111
3607,82
3524,121
3763,136
3942,98
3787,104
4864,118
5050,154
4630,131
6147,146
5553,132
6198,150
6568,142
6629,142
7113,156
6414,148
5843,172
7293,190
7300,177
8105,269
8336,205
8782,223
7761,200
8821,221
9633,259
9889,275
9471,286
10438,297
10864,261
8442,266
10218,277
10459,352
10930,396
11458,386
11929,311
11502,325
10667,380
10974,2003
12881,334
13586,336
14516,375
15403,306
14831,445
14933,312
15968,465
16922,418
17296,407
18552,384
19906,410
19459,380
18522,418
18641,507
19160,434
20903,379
22771,442
24850,613
24248,425
22251,466
22753,483
24879,487
26506,475
27114,519
28606,550
28732,501
28498,553
29429,582
32676,605
34975,688
35252,671
38697,543
40425,681
37132,585
37740,650
45720,1129
49310,740
48916,757
48611,702
49981,711
44457,637
51596,785
50294,762
52783,763
61242,793
54735,853
52972,771
52050,803
52509,857
56282,904
62538,886
61537,933
64399,861
62064,1007
53601,871
60963,834
66999,942
64553,1007
64732,996
64030,944
57711,941
55018,876
64572,1091
69672,978
68900,983
69876,945
69239,912
61408,836
60975,848
57224,967
85687,1115
77266,1057
76472,1021
78761,948
78512,971
69921,819
78357,1045
83883,1043
83341,1096
86432,1089
90632,1065
90802,1016
75809,1133
89706,1115
95735,1172
96551,1209
97570,1201
94372,1114
92071,1136
83809,1054
90123,1290
97894,1132
96424,1174
93337,1247
92605,1133
86961,1130
75083,1053
83347,1085
86508,1129
86052,1141
85362,1089
88600,1124
82170,1039
70589,776
80472,1179
86821,1181
81484,1095
79476,1069
75829,940
74442,903
61267,884
72049,986
78524,971
70496,964
73272,926
74383,918
66732,816
55342,706
63509,730
67708,680
63371,895
62212,837
61871,1033
55722,579
46790,587
54044,717
55839,702
54366,690
53370,650
50129,578
45148,480
36470,488
43893,508
49881,517
48648,563
48268,551
46963,470
45231,496
38310,490
46253,514
50210,704
47638,670
50356,577
45674,559
45903,490
38073,448
44281,512
47905,550
44879,547
44684,520
41100,447
30548,435
28414,433
